source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
"It crossed the Florida peninsula that night, causing the issuance of numerous severe thunderstorm and tornado warnings.",Es überquerte die Halbinsel Florida in dieser Nacht. Es verursachte zahlreiche schwere Gewitter und Tornado-Warnungen.,"那晚,它经过佛罗里达州,引发了严重的雷暴和龙卷风警报。","That night, it passed through Florida, causing severe thunderstorms and tornado alerts.",It crossed the Florida Peninsula that night. It caused numerous heavy thunderstorms and tornado warnings.
"The station, and all trains serving it, are operated by National Express East Anglia.",Der Bahnhof wird von National Express East Anglia betrieben.,火车站和火车由国家快车公司运营。,Train stations and trains are operated by the National Express.,The station is operated by National Express East Anglia.
Tag team match for the World Tag Team Championship 08: 51 2 Chavo Guerrero (c) defeated Jimmy Wang Yang.,Chavo Guerrero (c) besiegte Jimmy Wang Yang im Tag Team Match der Word Tag Team Championship 08.,"在2008年世界标签队锦标赛的标签队比赛中,查沃·格雷罗击败了Jimmy Wang Yang。",Chavo Guerrero defeated Jimmy Wang Yang at the 2008 World Tags Tournament.,Chavo Guerrero (c) defeated Jimmy Wang Yang in the Day Team Match of the Word Tag Team Championship 08.
"Tarvos, or Saturn XXI, is a prograde irregular satellite of Saturn.","Tarvos oder Saturn XXI, ist ein unregelmäßiger Satellit des Saturn mit einer prograden Umlaufbahn.","塔尔沃斯被称为土星21世纪,是土星的非正常月亮。","Talvos, known as Saturn in the 21st century, is the abnormal moon of Saturn.","Tarvos or Saturn XXI, is an irregular satellite of Saturn with a prograde orbit."
A small community formed that same year about 4 miles (6 km) east of the present city.,"In jenem Jahr entstand eine kleine Gemeinde, in der Nähe der heutigen Stadt.","当年,一个小社区在靠近该市现在所在位置的那一年组成。","In that year, a small community was formed in the year close to the current location of the city.","In that year a small community was created, near the present city."
"Super Mario RPG: Legend of the Seven Stars, often shortened and officially known in Japan as, is a hybrid adventure / console role-playing game developed and published by Square (now Square Enix) and Nintendo.",Legend of the Seven Stars wird oft gekürzt. Es ist ein hybrides Abenteuer- und Konsolen-Rollenspiel. Es wurde von Square und Nintendo entwickelt und veröffentlicht.,"Super Mario RPG:七星传奇是一个混合冒险/控制台角色扮演游戏,由Square(现为Square Enix)和任天堂(Nintendo)开发和出版。",Super Mario RPG: Seven Star Legends is a mixed adventure/consortium role-playing game developed and published by Square (now Square Enix) and Nintendo.,Legend of the Seven Stars is often shortened. It is a hybrid adventure and console role-playing game. It was developed and released by Square and Nintendo.
"Some of the characters are fully fictional, although they may have been based on actual persons.",Einige der Charaktere sind völlig so tun. Andere könnten auf Menschen basiert haben.,"其中一些人物完全是虚构的,可能是以实际人物为依据的。",Some of these figures are entirely fictional and may be based on actual figures.,Some of the characters are totally like that. Others might have been based on people.
"In a departure from his usual repertoire, he sang ""You'll Never Walk Alone"" from the Broadway musical Carousel at the Berlin Live 8 concert in 2005.","2005 sang er unerwartet ""You'll Never Walk Alone"" aus dem Broadway-Musical Carousel in Berlin.","他唱了""你永远不会独自一人走"" 这是百老汇音乐剧《卡鲁塞尔》的歌 他于2005年在柏林第八直播音乐会上唱的","He sang, ""You'll never go alone."" It's a Broadway musical called Caruthers. He sang it at the eighth live concert in Berlin in 2005.","In 2005, he unexpectedly sang ""You'll Never Walk Alone"" from Broadway Musical Carousel in Berlin."
"In addition, many feel that they are being pathologized for simply being different.","Außerdem werden viele als abnormal angesehen, weil sie nur anders sind.","而且,许多人认为,他们正在被当作医学异常对待,只是因为他们与众不同。","Moreover, many believe that they are being treated as medical anomalies simply because they are different.","Moreover, many are considered abnormal because they are only different."
Celestus fowleri is a species of lizard in the Anguidae family.,Celestus fowleri ist eine Eidechse aus der Familie der Echsenvögel (Anguidae).,Celestus firzeri是蜥蜴的物种。,Celestus firseri is a lizard species.,Celestus fowleri is a species of lizard in the Anguidae family.
